Nama	Alamat	Email	website	Telp	Fax	Pengasuh
Islamic Center Muhammadiyah Pesantren Futuhiyah (Putra-Putri)	Pacet-Cipanas-Cianjur Jawa_Barat	-	-	 	-	K.H Sayuti
Islamic Village (Putra-Putri)	Jl. Islamic Raya Karawaci Tangerang Banten Banten 	  mayamarcelworld@yahoo.co.id	  http://isvill.net 	 5464164 	5462853	DRS. H. SULAEMAN / YAYAH NURZANNAH
Ittihadul Muwahidin (Putra-Putri)	Jl. Raya Pati Kudus Km 6 Pati Jawa_Tengah 	  yaummi@yahoo.com	  www.yaummi.com 	 0295 5503333 	 0295 382110 	Ustadz Imam Abu Makin
Ittikhaduth Tholibin	Jl. Loram Kulon 602 Kudus Jateng	-	-	 	-	KH. Hamzah asnawi
Jam'iyyah Islamiyyah (Putra-Putri)	Jl. Pesantren Jurang Mangu Timur Pondok Aren Tangerang Banten 	  yapiji@yahoo.com	  www.geocities/yapiji.com 	 021-7306916, 7306917 	 021-7306917 	H. Husnul Aqib Amin. Lc
JAMIYYATUSHSHIBYAN (Putra-Putri)	Jl. Cibaraja, Kampung Slaawi, Desa Slajambe, Kec. Cisaat, Kab. Sukabumi Jawa_Barat	-	-	 0266-213654  	-	Ust. H. Abdullah Munawar, Kyai Daman, Ust. Aminuddin, S.Ag
Kalangsari (putra-putri)	Dsn. Kalensari Desa Kondangjajar Kecamatan Cijulang Kabupaten Ciamis Jawa Barat	-	-	 	-	KH. Bahrudin dan KH. Muihsin
KH. Abdul Jalal (Putra-Putri)	jl.Raya Solo-Purwodadi Km 20, Kalioso Jogopaten Sragen Jawa_Tengah	-	-	 	-	Ky. Munir
KH. ABDUS SHOMAD (putra-putri)	KANGKUNG MRANGGEN JATENG 	  AGUSULIN@YMAIL.COM	-	 081390732482  	-	KH. ABDUS SHOMAD
KHODIMUL UMMAH (putra-putri)	Garon, Banyuroto, Sawangan, Kab. Magelang JAWA TENGAH	-	-	 	-	Mustofa
Khos Al Ismailiyah (Putra-Putri)	jl. raya ngelom taman sepanjang Jawa_Timur	-	-	 031-7881748  	-	K.H. Sholeh Qosim
Khozinaturrohmah (Putra)	Jl. Raya Malangbong KM 65 - Kamp. Kaum Kaler - Ds. Sukaratu  - Malangbong - Garut Jawa_Tengah 	-	  -	 0262421136 	 - 	K. Agus Salim Surayudha ; M. Istiqlal Pathoni
Kifaayatul Akhyaar (Putra-Putri)	Jl Pangauban km.12 Ds. Pakuwon Kec. Cisurupan Garut Jawa_Barat 	  Idubsbudy@gmail.com	-	 0262 542902  	-	Aceng Memend
Kulon Banon	Kajen-Margoyoso-Pati 59154 Jateng Jateng 	  kulonbanon@yahoo.com	  www.kulonbanon.tripod.com 	 (0295) 453216,  081325764625  	-	KH. M.Muzammil Thohir atau M.Faishol Mz
La Tansa (Putra-Putri)	Cipanas Rangkas Bitung Banten	-	-	 	-	KH. Andrian
La Tansa (Putra-Putri)	Parakansantri, Lebakgedong Banten 	-	  http://www.pesantren-latansa.sch.id	 0252207204 	252204334	Al-Ustadz K.H Adrian Mafatihullah Karim, MA
LANTANG WIJAYA (putra-putri)	LONTANG JAYA, DESA PANJALIN LOR KEC. SUMBERJAYAKAB. MAJALENGKA JAWA BARAT 	  wong_lontang	-	 +62233 511 280  	-	ajie Muhammad  Siradj Rasyied
Lembaga Pembina Jiwa Taqwallah Miftahul Huda	Jl. Gading Pesantren 38, Malang 65115 Jatim 	  alhuda@ekilat.com	-	 (0341) 582174  	-	K.H. Baidlowi Muslikh
Lembaga Pendidikan Islam Abdurohman (Putra)	Waruberon Balongbendo Jawa_Timur	-	-	 081331148117  	-	Abd. Rochman
Lembaga Pendidkan Insani (Mahasiswa)	Jalan Pandega Insani Pogung Lor  Yogyakarta DI_Yogyakarta	-	-	 02747145690  	-	Ustadz Sugabo
Lembaga Tinggi Pesantren Luhur Malang (Mahasiswa)	jl. raya sumber sari no 88 malang Jawa_Timur 	  -	  www.pesantrenluhur.co.nr 	 0341567520 	 - 	KH. Prof.Dr. Ahmad Muhdlor, SH
LEMBAGA TINGGI PESANTREN LUHUR MALANG (Mahasiswa)	JL. SUMBERSARI NO 88 MALANG Jawa_Timur 	  coolfatsan@plasa.com	  http://pes-luhur.tripod.com 	 0341567520 	65145	Prof. Dr. KH Ahmad muhdor, SH
Lirboyo	Lirboyo Kediri/PO Box 162 Kediri Jatim	-	-	 	-	
m.samai (santri)	jl.tebet timur dalam 2 no.35 DKI 	  syam_mansur@yahoo.com	  www.cng.co.id 	 0218298507 	218291391	
Ma'had Al-Azhar	Sei. Kambang Telanaipura Kodya. Jambi Jambi	-	-	 0741 60009/667917  	-	Dra.Hj.Rosmaini MS M.ag
MA'HAD DAARUL MUWAHHID (putra-putri)	JL. Flamboyan No. 56 Srengseng Kembangan Jakarta Barat 11630 Tlp/Faks 02158906112 DKI Jakarta 	  ahmadrosyidinmb&yahoo.com	  www.daarulmuwahhid.org 	 021 58906112 0812 829 3771 	 021 589 06 112 	Al Fakir Ustdz Muhammad Soffar  Mawardi
Ma'had Daarul Muwwahid (Mahasiswa)	Jl. Flamboyan No.59 Srengseng Kembangan Jakarta Barat DKI_Jakarta	-	-	 (021) 58906112 08128293771  	-	Ust. H.Shoffar Mawardi
Ma'had Diniyyah (Putra-Putri)	Rimbo tengah Po.Box 14, Muara Bungo Jambi Jambi 	  mahad_diniyyah@yahoo.com	-	 +6274721169 	6.274721169E9	H. Maksum Malim Lc, M.ag
Ma'had Dirasah Islamiyah AMA-STIKES Surya Global (Putra-Putri)	Jl. Pramuka 70 Yogyakarta DI_Yogyakarta 	  info-ma'haddirasah@stikes-suryaglobal.ac.id	  www.stikes-suryaglobal.ac.id 	 0274-450556, 7860767 	 0274-415128 	Ust. Hudalloh Asmudi, S.Ag.
Ma'had Ibnu Mas'ud Tulungagung (Putra)	jl. Pahlawan III/40 Tulungagung Jawa_Timur 	  mimtulungagung@gmail.com	  mimtulungagung.blogspot.com 	 0355 7704848 	 0355 335600 	Minhajun Niam
Ma'had Kafila (Kafila Islamic Boarding School) (Putra)	Jl. Raya Bogor Km 22 Ciracas Jakarta Timur 13830 DKI_Jakarta 	  smp.kis@plasa.com	  http://www.kafila-school.co.nr 	 (021)8400762 	 (021) 87782169 	Sudarisman Ahmad
Ma'had Kafila al-Islamiy al-'Alamiy (putra|-|)	Jl. Raya Bogort Km 21.5 No. 09 Rambutan Ciracas Jakarta Timur 13830 DKI Jakarta 	  info.kiisjakarta@gmail.com	  http://www.kiis-jakarta.org 	 021-8400762 	 021-8400188 	Sudarisman Ahmad, Lc.
ma'had khairul bariyyah (Putra-Putri)	jl. khairulbariyyah no.29 Kel. Cimuning 02/04 Mustika Jaya Kota Bekasi Jawa_Barat 	  khairulbariyyah_29@yahoo.com	  khairulbariyyah.wordpress.com 	 021 - 82600332, 82600464  	-	H. Syahrul Zain
Ma'had Manba'us Salam al-Islami	Senenan - Bangkalan Jawa Timur	-	-	 	-	KH. Affan Fadlli
ma'had Syawarifiyyah (MSw) (1000)	Jl. Malaka IV Rt.013/06 No.27 DKI Jakarta 	  MSw_YWan@yahoo.com	-	 021-44850373  	-	DR.H. Kamualuddin Nurdin, M.Phil
Ma'hadul Ibadah al-Islami (putra)	Jl.Tambak Bening II/ 18-20 Surabaya Jawa Timur 	  tee_beekru@hotmail.com	  www.mayara-online.com 	 031.3727618 	031-3727618	KH.Miftahul Luthfi Muhammad
Ma'hadul Ulumis Syar'iyah	Sarang Rembang Jateng	-	-	 	-	KH. Agus Sa'id Abd. Rohim Ahmad
ma'hadut tholabah (Putra)	jl jombang 45 kebondalem kandangan kediri Jawa_Timur 	  ma'haduttholabah@yahoo.com	-	 0354-326187  	-	K Imam baihaqi
Ma'hadul Ilmi asy-Syar'ie (putra-putri)	Karangmangu Sarang Rembang Jawa Tengah	-	-	 	-	KH. Umar Faruq Imam
Madani (Putra)	Jl.Srikuncoro No.09 Blok Panca Mukti Kec.Pondok Kelapa- Bengkulu Tengah Bengkulu	-	-	 0736-7008886.o8153914624  	-	
Madinatunnajah (Putra-Putri)	Jl. DI. Panjaitan No. 30 Kalimukti Pabedilan Cirebon Jawa_Barat 	  ab1ez@yahoo.co.id	  http://abaz.site50.net 	 0231-3360110  	-	Salim Masykur, S.Ag
Madinatunnajah Kalimukti (470 (Putra - Putri))	Jalan Ditjend Panjaitan Kalimukti Kec. Pabedilan Kab. Cirebon Jawa Barat 	  admin@madinatunnajah.sch.id	  www.madinatunnajah.sch.id 	 +6231-3360110  	-	Salim H. Masykur, S.Ag
Madrasah Al-Wihdah	Dsn. Cumpleng, Ds. Tangkil,  Kab. Sragen Jawa_Tengah	-	-	 081 329 104 377  	-	Ust. A. Ma`ruf
Madrasah An-Nuriyyah (Putra)	Batu 8, Melaka, Paya Rumput Rambia, Malaysia Luar_Negeri 	  An_Nuriyyah@yahoo.com	  An-Nuriyah.tripod.com 	 - 	 - 	0
Madrasah Arabiah (putra-putri)	Raiwind Punjab	-	-	 	-	
Madrasah Huffadz Al-Munawir (Putra)	Jl. KH. Ali Maksum - Krapyak Yogyakarta DI_Yogyakarta	-	-	 0274-413590  	-	KHR. M. Najid Abd. Qodir
Madrasah Ibtidaiyah 26 (Putra-Putri)	kamp.Jambatan kec Baleendah Andir Bandung Jawa_Barat	-	-	 02270419893  	-	Didin syamsudin
Madrasah Muallimin Muallimat (Mahasiswa)	al hikmah 2 Brebes Jawa_Tengah 	  imanika@yahoo.com	-	 0289 432445  	-	KH.DR.A.Najib Afandi MA
Madrasah Tahfiz dan Vokasional Darul Hikmah (Putra-Putri)	Kedungmaling, Sooko, Mojokerto, Jawa_Timur 	  abumazaya2004@yahoo.com	-	 0321-333675, 08123181635 	-	K.H. Masruhan  Choteb, MA
Madrasatul Qur an Tebuireng (Putra)	Tebuireng PO.BOX 18/61471 Jombang Jawa_Timur 	  saiful_hijar@yahoo.co.id	-	 0321-864071  	-	KH. Abdul Hadi Yusuf, S.H
Madrsatul Qur an (Putra)	Jl Irian Jaya Tebuireng Jombang Jawa_Timur 	  quran_madrasatul@yahoo.com	  www.Madrasatul Quran.co.id 	 (0321)864071 	 - 	Kh Abdul Hadi Yusuf SH
Madrsatul Qur an Tebuireng (Putra)	Jl Irian Jaya no21Tebuireng Jombang Jawa_Timur 	  quran_madrasatul@yahoo.com	  http://www.infopsbmq.wordpress.com 	 (0321)864071 	 - 	Kh Abdul Hadi Yusuf SH
Maftahul Ulum	Jl. KH Imam Bukhori 31 Jatinom Kanigoro Blitar Jatim	-	-	 	-	KH Abd. Hafidz Dhofir
MAJLIS TA'LIM ALAMUL HUDA (putra-putri)	Jl. Babalan kidul Rt.05 Rw.02 Bojong pekalongan 51156 Jawa Tengah	-	-	 0285 7948327  	-	K. Miftahurrohman
Majlis Taklim Ma'washshoobirin	Jl.bypass sudikampiran No.142 Ds.sudikampiran Kec.Sliyeg Kab.Indramayu Luar_Negeri	-	-	 	-	K.Abdullah ZM
Majlis Tarbiyatul Mubtadi'ein Pondok Pesantren Kempek	Jln. Tunggal Pegagan blok. Pesantren Ds, Kempek Kec, Gempol Kab. Cirebon 45161 Jawa Barat Jawa_Barat 	  aspek_kempek@yahoo.com	 http://www.aspek-kempek.blogspot.com 	 62231-343604  	-	Buya H. Ja'far Shadiq AS, Prof. DR. KH Said AS, KH.M. Mushtofa AS, KH. Ahsin Syifa AS, KH. Ni'amillah AS
majma'ul anhar (Putra-Putri)	jl.kayu manis rt.05/04 cibinong bogor Jawa_Barat	-	-	 	-	abah afud mahfuddin
Makhadal Ulum Diniyah Islamiah (MUDI) (Putra-Putri)	Mesjid Raya Samalanga DI_Aceh 	  muntasir_qd@yahoo.com	-	 064431305 	064453155	Tgk. H. Hasanoel Basri
Mamba'us Sholihin	Desa Suci Kab. Gresik Jawa_Timur 	-	http://www.mamba'us sholihin.com	 	-	K. H. Masbuhin Faqih
Mambaul Hidayah (Putra)	Bugen Muktiharjo Kidul Pedurungan Semarang Jawa_Tengah	-	-	 0246591237  	-	KH, Mahmud
Mambaul Hikam	Slemanan Udanawu Blitar Jatim	-	-	 	-	KH Zubaidi A. Ghofur
Mambaul Hikam	Jl. Masjid No. 12 PO BOX 6, Jatirejo Diwek Jombang, 61471 Jawa Timur 	  anjanie_26@yahoo.com	  www.mambaulhikam.org 	 (0321) 863886  	-	Drs. KH. Zubaidi Muslich
mambaul hisan (Putra-Putri)	jl.pengulu sidayu-gresik Jawa_Timur	-	-	 	-	kh.mohammad bin sofwan
Mambaul Maarif	Jl. Imam Bonjol No. 21 Denanyar Jombang Jatim	-	-	 (0321) 861696, 872795  	-	KH. A. Hafidz Ahmad
mambaul ulm (Putra-Putri)	jl.kh hasbullah banjarejo pagelarn malang Jawa_Timur	-	-	 0341878093  	-	kh fa iqurrohman kh abd qodir
Mambaul Ulum	Awang-awang Mojosari Mojokerto Jatim	-	-	 	-	KH Moh Mansur H.
Mambaul Ulum (Putra-Putri)	Sukodadi - Paiton - Probolinggo Jawa_Timur 	  M_Abe@Plasa.com	-	 0335 - 771646 	 0335 - 771646 	KH. Moh. As'ad Abuhasan
MAMBAUS SHOLIHIN (putra-putri)	JL. KH. Syafi'i No. 07 Jawa Timur 	  mambaussholihn@gmail.com	  http://www.mambaussholihin.com/ 	 031 3954479 	 - 	KH. Masbuhin Faqih
MANAROTUL HUDA LIMANIHTADA (Putra-Putri)	Jl. Kyai Mukmin (Ujung) Bangbayang bantarkawung Brebes 52274 Jawa_Tengah 	  man_hud@yahoo.co.id	-	 085227746533  	-	KH. Zainuddin Mufty
Manba'ul 'Adhim Ath-Thoyyibah (Putra-Putri)	Kantongan B, Merdikorejo, Tempel, Sleman DI_Yogyakarta 	  Tsamrotus@yahoo.co.id	-	 08179435230  	-	Muhammad Yasin Al Mursyid
Manba'ul 'Ulum (Putra-Putri)	Jl. Nyi Ageng Serang Desa Sindangmekar Blok Kadutilu Kecamatan Dukupuntang Kabupaten Cirebon Jawa_Barat	-	-	 (0231)341858, 341860  	-	KH. Jufriadi Rifa'i, S. Sos. I.
Manba'ul Hikmah Al-Azieziyah (200 Pa/Pi)	Kalikatir 001/.006 Nambangan Selogiri Wonogiri Jawa Tengah 	  ppmh_wonogiri@yahoo.com	-	 0273 322520  	-	H. Abdul Aziez Mahfuf
Manbaul Anwar (Putra-Putri)	Krasak Mojotengah Wonosobo Jawa_Tengah	-	-	 	-	KH. Muhammad Amien Ridho
Manbaul Falah	Kemiri Singojuruh Banyuwangi Jawa Timur 	  fahim87@ymail.com	  http://manbaulfalah-fahim.blogspot.com 	 0333632209  	-	K. Mundzir Rofi'i
Manhajuth Thulab	Jl. Manisi Cibiru Bandung Jabar	-	-	 022-7815808  	-	KH Iping Zainal Abidin
Mansajul Ulum (Putra-Putri)	Cebolek Margoyoso Pati Jawa_Tengah 	  maljak2002@yahoo.com	-	 02955509659  	-	Ustadz Liwauddin
Mansyaul Huda 01 (K.M.Baidlowi,KH.Abd.Manan) (Putra)	Jl.Letnan Sucipto 114 Sendang Senori Tuban Jawa_Timur 	  mansyaul_huda01@plasa.com	  - 	 (0356)531008 	 (0356)531008 	K.M.Baidlowi AG
MAQDIS (Ma'had Al Quran & Dirosah Islamiyah) (putra-putri)	Jl. Pahlawan No. 64 Bandung Jawa Barat 	  info@maqdis.org	  www.maqdis.org 	 022-7213322/ 7210044 	 022-7213322 	K.H. Saiful Islam Mubarak, Lc.,M.Ag
Maraqitta'limat (Putra-Putri)	Mamben Lauk NTB 	  sahlanrafiqi@yahoo.com	-	 037623643  	-	TGH.Hazmi Hamzar
Maskumambang (Putra-Putri)	Jl. Sembungan Kidul Dukun Gresik Jawa_Timur 	-	  www.maskumambang.or.id	 	-	K.H. Nadjih Ahjad
Maslakul Huda	Kajen, Margoyoso, Pati Jawa_Tengah 	-	  http://www.maslakulhuda.net	 0295-452333  	-	Dr. KH. Sahal Mahfudz
Masyariqul Anwar (176)	Jl.Raya Sekaran No.01 Ds.Kelutan Kec.Ngronggot Kab.Nganjuk Jawa Timur 	  ypimasyariqulanwar@gmail.com	  - 	 0358-791356 	 - 	K.Mudjab Anwar
MASYARIQUL ANWAR (PPMA) (Putra-Putri)	Babakan Ciwaringin Cirebon Jawa_Barat	-	-	 0231 342189  	-	KH. Makhtum Hannan
Masyithoh	Ngoro RT 7 RW 11 Mojokerto Jatim	-	-	 (0321) 619125  	-	KH. Abd Wahid Rozaq
Mathaliâul Anwar	Jl. Kartini Pangarangan Sumenep Jatim	-	-	 	-	KH Said Abdullah
Mathla'ul Anwar Cimindi (Putra-Putri)	Jl.H.Martobi No.34 Cimindi-Cimahi Jawa_Barat 	  hiday95@gmail.web.id	  www.mdma.web,id 	 022-6042619  	-	Drs. Aap Fathudinsyam
Mathla'ul Anwar Linahdlatil Ulama (MALNU)	Jl Alun-alun Timur Kecamatan Menes Pandeglang Banten 	  alannabi@hotpop.com	-	 (0253) 51167  	-	KH Ma'ani Rusydi
Mathlabul Ulum	Jambu Lenteng Sumenep Jatim	-	-	 	-	KH Taufikurrahman
Mathlaul khaer (Putra-Putri)	Jl. Pesantren Cintapada Setianegara Cibeureum Kota Tasikmalaya Jawa_Barat 	  vantitasic@yahoo.co.id	-	 02657080986-02657084453-026570  	-	K. H. Yusuf Faqih
MATHOLI'UL ANWAR (putra-putri)	Simo Sungelebak Karanggeneng Lamongan Jawa Timur 	  mts_simo59@yahoo.com	  www.matholiul-anwar.net 	 0322-390523 	 0322-390523 	K.H. Mahsuli Effendi
Matholiul Anwar	Simo Karanggeneng Lamongan 62254 Jatim 	  khotib@hotmail.com	-	 (0322)390523  	-	KH. Mahsuli Effendi
Mazra'atul Akhirah (Putra-Putri)	Jl.Pole Baramuli Km.3 Poros Pinrang-Polmas Palia,Kabupaten Pinrang Sulawesi_Selatan	-	-	 0421-923851  	-	K.H.Lukmanul Hakim,Lc.
MA\'HAD MIFTAHUL ULUM (Putra-Putri)	desa talun kecamatan kayen kabupaten pati Jawa_Tengah 	  ehwandi@gmail.com	  http://ehwandi.tripod.com/ponpestalun 	 08157607827  	-	KH.ROIS YAHYA DAHLAN
Ma`ahad Sunniyyah Salafiyah Pasuruan	Jl. KH. Wahid Hasyim VII / 7 Pasuruan Jatim	-	-	 0343- 420961 / 08123295635  	-	Habib Taufiq Assegaff (alumni Darul Mustafa Habib Umar Al Hafidz Tariim Hadramaut Yaman)
Ma`had Abu Bakar Ash-shiddiq (tahfidz al-qur`an) (Mahasiswa)	Jl.Kartini No.6 Muntlan Magelang Jawa_Tengah	-	-	 0293 587697 / 081 329 104377  	-	Ust. Amir Ma`ruf Al-Hafidz
MA`HAD HADITS BIRU WATAMPONE (Putra-Putri)	JL. JEND. SUDIRMAN NO. 5-6 Sulawesi_Selatan	-	-	 048121724 	048121724	
Ma`had Ibadurrahman Litahfidzil Al-Qur`an (Khusus Ikhwan / pria)	Jl. Mayang Sari No.24 Jogosuran  Danukusuman Surakarta Jawa_Tengah 	  mabatahfidz@gmail.com	-	 0271 2103155 / 081 329 104377  	-	Ust. Amir Ma`ruf Al-Hafidz
MA`HADUT THOLABAH (Putra-Putri)	Babakan Lebaksiu Tegal Jawa_Tengah	-	-	 0283-6196767  	-	H.MOHAMMAD S.BAIDLOWI
MDI IBNU 'AQIL (Putra-Putri)	LALADON CIOMAS BOGOR 16610 Jawa_Barat 	  goobets@yahoo.co.id	  - 	 (0251) 638879-632041 	 - 	Drs. KH. UBAIDILLAH SYAFI'IE
MHM P.PURBAYA (Putra-Putri)	Desa Kalisoka Pesantren Kec Dukuhwaru Kab. TEGAL Jawa Tengah Jawa_Tengah 	  -	  - 	 08156634315 	 - 	A. Ja\'far Shodiq - M. Hidhir Kurdi
MI/MD MUBAROKULHUDA (Putra-Putri)	Banjaran - Kab. Bandung (30377) Jawa_Barat 	  mubarokulhuda@yahoo.com	  www.geocities.com/mubarokulhuda/mubarokulhuda.html 	 (022)5943100  	-	Lili Ahmad Hariry
Miftachussunnah (Putra-Putri)	Jalan Kedung Tarukan 100 Surabaya Jatim 	  m-akhyar@sby.centrin.net.id	-	 031-5942273 	 031-5944539 	Miftachul Akhyar
Miftahul Faizin (putra-putri)	RT.08/RW.16 Ds.Kadugede Kec.Kadugede Kab.Kuningan Jawa Barat	-	-	 	-	K.Uned Junaedi / K.Uud Sholehudin / K.Iing Zaenul Mu'in
Miftahul Falah	Jl. Bungkuk 49 Singosari Malang Jatim	-	-	 	-	Drs. A. Hilmi Nahrowi
Miftahul Huda (Putra-Putri)	Manonjaya Tasikmalaya Jawa_Barat 	-	  http://www.miftahul-huda.com	 0265-380954 	 0265-381656 	KH. Asep A. Maoshul Affandy & KH. Abdul Aziz Affandy
Miftahul Huda (Putra-Putri)	Mondoretno - Bulu - Temanggung Jawa_Tengah	-	-	 	-	Drs. Mahali
miftahul huda	DS. pasanggrahan, kec. kasomalang, subang jawa barat 	  mif_all@yahoo.com	-	 082116117376  	-	moch. suhendi
Miftahul Huda al-Azhar (Mahasiswa)	jl.pesantren No.02 citangkolo langensari kotip banjar ciamis Jawa_Barat	-	-	 	-	KH.Munawir Abdurrahim MA
Miftahul Huda Al-azhar (Putra-Putri)	jln.pesantren no.02 citangkolo desa kujangsari kec.langensari kota Banjar Jawa_Barat	-	-	 0265-2730533  	-	
miftahul huda al-husna (putra-putri)	jl. letnan harun gunung tujuh 02/08 kelurahan sukarindik kecamatan bungursari kota tasikmalaya jawa barat 	  mh-alhusna@yahoo.com	-	 02657090286 / 081222972504  	-	KH. Habib Muslim
Miftahul Iman (Putra-Putri)	Jl.singaperbangsa Dsn.kosteng Ds.sukatani Kec.Cilamaya wetan Kab.karawang 41384 Jawa_Barat	-	-	 0264 341029  	-	Kyai maulana zainudin.Spdi
Miftahul Khoirot (Putra)	Sempar, Blega, Bangkalan Jawa_Timur	-	-	 	-	KH. Mashudi Saprawi
miftahul ulum (Putra-Putri)	talun kayen pati Jawa_Tengah 	  iwan-pkl@yahoo.com	  www.miftahul-ulum.tk 	 	-	syaikh kh.rois yahya dahlan
Miftahul Ulum (Putra-Putri)	Jl. Raya Banyuputih Kidul PO. BOX. 101 Jatiroto Lumajang 67355 Jawa_Timur	-	-	 (0334) 882800 	 (0334) 882800 	KH. M. Husni Zuhri
Miftahul Ulum (Putra-Putri)	Kampung Cikupa Desa Cirangkong Kecamatan Cijambe Kab. Subang Jawa_Barat	-	-	 081573868247  	-	Ust. Anwar Nawawi S.Ag
miftahul ulum (Putra)	jl.raya teluk lada rt03rw09 panimbang pandeglang Banten 	  habuen891@gmail.com	-	 087871242567  	-	ustd.asep
Miftahul Ulum (Putra-Putri)	Tlogobedah - Hulaan - Menganti - Gresik - JATIM Jawa_Timur	-	-	 0317911578  	-	K. H. SYAHIDUDDIN
miftahul ulum (Putra-Putri)	jl. Madrasah no.17 Gandaria selatan cilandak jak-sel DKI_Jakarta 	  info@miftahululum.com	  www.miftahul-ulum.com 	 0217650689 	0217650689	KH.Abdussalam Zaini Lc.
Miftahul Ulum (Putra-Putri)	kampungbaru tanjung anom Jawa_Timur 	  wafiqillah@yahoo.com	  - 	 0358 771366 	 0358 771366 	Drs. KH. Ashfiyak Mujahid.
miftahul ulum 09 (Putra-Putri)	tengginah alaskokon modung bangkalan Jawa_Timur	-	-	 03172766135 / 085330041226  	-	KH Amin Hasyim
Miftahul Ulum Kebun Jeruk (Putra-Putri)	Jl Sumber Urip Mrapa Sempusari Kaliwates Jawa_Timur 	  PPA_MU@yahoo.co.id	-	 0331 410776  	-	KH Mudatstsir Badruddin
Miftahul Ulum Sumber Kebun (Putra-Putri)	Jl Raya Pangereman Ketapang Sampang Jawa_Timur	-	-	 	-	KH Badruddin Mudatstsir
Miftahulhuda Al-Musri' (putra-putri)	Po.Box.13 Kertajaya-Ciranjang-Cianjur Jawa Barat 	  infoalmusri@yahoo.com	  www.almusri.org 	 0263-322904  	-	KH. Saeful 'Uyun
MIFTAHUL`ULUM LANGKAPLANCAR (Putra-Putri)	Jalan Raya Banjar No 151 Bojongkantong Langensari Kota Banjar Jawa_Barat 	  f.rohim@yahoo.co.id	  www.miftah.com 	 085223301651 	02652730545	Fathurrohim, S.Pd.I
Miftahussalam (Putra-Putri)	Jl. Cidalima No.09 Ds Pamekaran Kec. Soreang Kab. Bandung Jawa_Barat	-	-	 022 5891134  	-	Drs. KH. Yayan Hasuna Hudaya,M.M.Pd
Miftakhul Huda (Putra-Putri)	Cigaru I PO Box 18 Majenang Cilacap 53257 Jawa_Tengah 	  miftahulhoeda@yahoo.com, alhambra@telkom.net	  - 	 (0280) 622019. 621814 	 - 	KH Mukhlis Sufyan, KH M Munaji AQ
MIMBAR HUFFAZH (30)	Kp. Sentul Desa Lubang Buaya, Kec. Setu Kabupaten Bekasi Jawa Barat 	  -	  www.mimbarhuffazh.org 	 021-82614119 	 - 	Ust. Uus Mauludin, MA
MINHAJUL ABIDIN (putra-putri)	Janti Rt/Rw 03/05 Jogoroto Jombang Jawa Timur	-	-	 	-	K. RUSDI MIZAN
Mislahul Muta'allimin Al-Falah	Desa Karang Tengah, Warungpring, Randu dongkal, Pemalang Jawa Tengah 	  Mim.alfalah@gmail.com	  www.alfalahmim.blogspot.com 	 	-	KH. Farikhin Syahmarie
Mitahul Huda (Putra-Putri)	jl sunan ampel 61 singosari Jawa_Timur 	  PPMH@yahoo.com	  PPMH.co,id 	 0341542390  	-	KH Mahmud Abdillah
Mitahul Huda (Putra-Putri)	jl sunan ampel 61 singosari Jawa_Timur	-	-	 0341542390  	-	KH Mahmud Abdillah
Mlangi Timur (Putra-Putri)	Mlangi, Nogotirto, Gamping, Sleman DI_Yogyakarta	-	-	 	-	Abu Chamid
MTI Al-Aziz (124 ( Putri ) 32 ( Putra ))	Jl. KH. Baidhowi No 42-43 Lasem Jawa Tengah 	  ahmadmuhammad1967@yahoo.com	-	 (0295) 531742 	 (0295) 531742 	H. A. Muhammad Shiddieq, MH
MTIQ (Ma'had Tahfidz dan Ilmu Al-Quran) Al-Mukhlishin (putra|-|)	Cidaplang RT 03 RW 10 Ds. Mandalamukti Kec. Cikalongwetan Kab. Bandung Barat 40556 Jawa Barat 	  cecep_ghozali@yahoo.com	  www.karunia-Nya.blogspot.com 	 08567071051  	-	Cecep Ghozali R, S.Q.
Muallimin-Muallimat	Jl. Wijayakusuma no. 59 Babakan - Ciwaringin - Cirebon Jawa_Barat 	  babakan_kidul@yahoo.co.id	-	 (0231) 342108 HP. 081324306104  	-	KH. Amin Halim (Alm), KH. Zamzami Amin, KH. Marzuqi Ahal
Mubarokulhuda (Putra)	Banjaran - Kab. Bandung Jawa_Barat 	  liliahmadhariry@yahoo.co.id	-	 (022)5943100  	-	
muhamaddfikri (putra-putri)	jl karimunjawa no 43 rt01 rw06 gedang anak ungaran semarang jawa tengah 	  depiqi186@gmail.com	-	 024 76913032  	-	kh hasan abdullah sahal
MUSA'IDIN (Putra-Putri)	GAMBIRAN, DESA MADIGONDO KECAMATAN TAKERAN KABUPATEN MAGETAN PROPINSI JAWA TIMUR Jawa_Timur	-	-	 0351458277  	-	KH. Drs. ASY'ARI AHMAD MSi. dan KH. ZAINURI, BA.
Musa'idin (Putra-Putri)	Gambiran - Madigondo - Takeran - Magetan - Jawa Timur Jawa_Timur	-	-	 0351 - 458277  	-	KH. Zainuri
muslihul ummah (Putra-Putri)	jln gadog 2 kp jembar rt 01/04 desa gadog kec.pacet kab.cianjur Jawa_Barat	-	-	 (0263)519540  	-	M. A. Dimyati
Nadil Ulum (Putra)	Jln Veteran.Dusun Ory, Desa Pelauw, Kec. P. Haruku. Kab. Maluku Tengah Maluku 	  zahrudin46@yahoo.com	-	 08134231943  	-	K.H. M. Tahir Tuanaya
